Date,Video Folder,Video #,Trial,Tank,Group,activity_numchases,activity_timechases,novel_numchases,novel_timechases,food_numchases,food_timechases,pred_numchases,pred_timechases,,,,,
10/8/17,RH3,1,1,5,8I_3,0,0,1,737,0,0,0,0,,,,,
10/10/17,RH3,1,2,5,8I_3,1,752,2,1992,0,0,0,0,,,,,
10/12/17,RH3,1,3,5,8I_3,0,0,0,0,0,0,0,0,,,,,
8/16/17,RH3 81617,2,1,5,8J,1,392,3,1260,0,0,4,1221,,,,,
9/29/17,RH3,1,1,6,8J_2,1,2592,6,19660,1,1288,0,0,,,,,
10/8/17,RH3,1,1,6,8J_3,6,6699,9,5099,1,585,24,48223,,,,,
10/10/17,RH3,1,2,6,8J_3,40,60373,37,41366,11,21360,25,31866,,,,,
10/12/17,RH3,1,3,6,8J_3,37,58532,18,16637,7,6064,31,54939,,,,,
8/16/17,RH6 81617,1,1,11,8K,0,0,1,297,0,0,0,0,,,,,
8/18/17,RH6,1,2,11,8K,10,11868,24,43763,6,12764,5,4511,,,,,
9/29/17,RH6,1,1,11,8K_2,0,0,23,40291,0,0,2,2022,,,,,
10/1/17,RH6,1,2,11,8K_2,1,366,9,7580,,,1,1343,,,,,
10/3/17,RH6,1,3,11,8K_2,0,0,0,0,1,508,0,0,,,,,
10/8/17,RH6,1,1,11,8K_3,0,0,13,21461,0,0,2,1737,,,,,
8/16/17,RH6 81617,1,1,12,8L,0,0,5,3019,1,935,1,579,,,,,
8/18/17,RH6,1,2,12,8L,0,0,36,48849,24,28337,0,0,,,,,
8/20/17,RH6,1,3,12,8L,16,20403,20,21114,36,76919,2,1313,,,,,
9/29/17,RH6,1,1,12,8L_2,1,666,8,13340,6,7885,1,1744,,,,,
10/1/17,RH6,1,2,12,8L_2,1,1000,0,0,,,2,3750,,,,,
10/8/17,RH6,1,1,12,8L_3,0,0,0,0,1,695,0,0,,,,,
10/10/17,RH6,1,2,12,8L_3,0,0,0,0,3,2357,0,0,,,,,
10/12/17,RH6,1,3,12,8L_3,0,0,0,0,0,0,0,0,,,,,
9/29/17,RH3,2,1,5,8M_2,8,12760,16,31009,7,1,8,8059,,,,,
10/1/17,RH3,2,2,5,8M_2,7,12865,36,96258,17,13003,28,35335,,,,,
10/3/17,RH3,1,3,5,8M_2,52,71615,34,43543,27,37081,34,37857,,,,,
9/29/17,RH3,2,1,6,8N_2,3,4207,14,28976,2,1589,0,0,,,,,
